,trading_time_avg,trading_time_med,trading_max_time,tick_time_avg,tick_max_time,tick_time_med,spread_bid_ask_avg,spread_bid_ask_med,last_digit_vol_trade_freq,last_digit_prx_trade_freq,vol_test_res,prx_test_res
SAMAS FH Equity,7.417186,0.0,323.0,29.258937,393.0,13.0,-0.000990129110714279,0.020000000000003126,0.20561334057802272,0.01533674868690005,True,False
SAND SS Equity,5.623538,0.0,227.0,40.211085,446.0,21.0,0.012575245253760988,0.04999999999999716,0.28920560395421213,0.04925535466224438,True,False
SCAB SS Equity,8.678819,0.0,559.0,53.217486,650.0,28.0,0.00433240851706513,0.10000000000002274,0.20842020586738463,0.09380591991857239,True,False
SCH NO Equity,12.607369,0.0,847.0,33.149558999999996,847.0,5.0,-0.12029380564246404,0.5,0.14291469162492781,0.13739576479434948,True,True
SDRL NO Equity,4.11231,0.0,350.0,18.576862,350.0,5.0,-0.08730732789499226,0.09999999999999432,0.4647008527257181,0.05810551614170499,True,False
SEBA SS Equity,4.620053,0.0,387.0,50.170186,772.0,21.0,0.032851625963844874,0.09999999999999432,0.2698571318049359,0.09794465791577482,True,False
SECUB SS Equity,16.962464,0.0,726.0,90.359701,1015.0,38.0,-0.0023885450871445955,0.19999999999998863,0.19348320282899722,0.13769259914119727,True,True
SHBA SS Equity,5.605432,0.0,297.0,26.660207,394.0,12.0,-0.007148244850595069,0.19999999999998863,0.1655246986839676,0.11515678983041908,True,True
SKAB SS Equity,9.172029,0.0,370.0,51.498297,856.0,25.0,0.013672665760794846,0.10000000000002274,0.21962785280496935,0.100288400210754,True,False
SKFB SS Equity,3.597719,0.0,192.0,25.32525,478.0,11.0,0.06626820752012909,0.09999999999999432,0.19621452953591995,0.11670727258514214,True,True
SSABA SS Equity,7.246232,0.0,434.0,21.956308,434.0,7.0,0.019848670563831817,0.03999999999999915,0.2142520406239056,0.013200075429002452,True,False
STB NO Equity,11.217423,0.0,525.0,37.923132,581.0,8.0,0.046275806514480176,0.030000000000001137,0.217339898917718,0.009666480439668949,True,False
STERV FH Equity,8.106516,0.0,471.0,46.172006,882.0,13.0,0.005849871061778193,0.009999999999999787,0.24498262137010876,0.023983528524396336,True,False
STL NO Equity,3.462737,0.0,310.0,31.544258,974.0,12.0,-0.004087073726196531,0.09999999999999432,0.35931010296907545,0.12186856971433159,True,True
SUBC NO Equity,6.314497,0.0,639.0,24.888364,639.0,5.0,0.15531883658234963,0.09999999999999432,0.3086224231046418,0.055492779799453704,True,False
SWEDA SS Equity,4.084945,0.0,301.0,37.174593,538.0,18.0,0.018850860081574803,0.09999999999999432,0.22940539479989283,0.08611380469601898,True,False
SWMA SS Equity,10.391557,0.0,616.0,48.058333,672.0,18.0,0.00011114919000113714,0.19999999999998863,0.17701434750794254,0.11122328946027805,True,True
TDC DC Equity,19.178481,0.0,805.0,204.185251,2838.0,105.5,-0.014257759784075424,0.05000000000000426,0.18431935919202472,0.08449784510905055,True,False
TEL NO Equity,9.128189,0.0,549.0,64.147112,1870.0,31.0,0.3164896704262031,0.09999999999999432,0.25797267408116203,0.1155312240192003,True,True
TEL2B SS Equity,5.675003,0.0,435.0,37.635798,1112.0,14.0,0.04928504413093325,0.10000000000000853,0.26522864688303566,0.10475015636944889,True,True
TGS NO Equity,10.801188,0.0,879.0,45.461571,1018.0,10.0,-0.09243335270034718,0.20000000000001705,0.2776013728060101,0.1891391587509627,True,True
TIE1V FH Equity,23.903773,0.0,1031.0,85.781183,2070.0,25.0,0.011536748329621451,0.029999999999997584,0.25323848915958364,0.04679332757601927,True,False
TLS1V FH Equity,31.189592,0.0,652.0,136.450958,1410.0,74.0,0.008002842821874767,0.009999999999999787,0.5515224059250393,0.0,True,False
TLSN SS Equity,4.672038,0.0,314.0,45.361287,586.0,21.0,0.018193943851906303,0.04999999999999716,0.35470148338850066,0.05331004045605002,True,False
TRYG DC Equity,12.907751,0.0,580.0,86.179545,1141.0,40.0,-0.23534910759175465,0.5,0.18541038210155858,0.5197021116138764,True,True
UPM1V FH Equity,7.278592,0.0,349.0,44.373396,610.0,17.0,0.0016732520439287559,0.010000000000001563,0.2508031698436496,0.02142524796714943,True,False
VALMT FH Equity,24.73581,0.0,810.0,111.312154,1424.0,43.5,0.005030185204133877,0.019999999999999574,0.2048500972065896,0.0027286060233977965,True,False
VOLVB SS Equity,2.082088,0.0,370.0,17.787825,682.0,4.0,0.012911613317846514,0.09999999999999432,0.36374972731078314,0.08767032021084036,True,False
VWS DC Equity,4.750677,0.0,196.0,18.214228,369.0,8.0,0.0076326958344234965,0.19999999999998863,0.24495677233429394,0.13371233953366518,True,True
WDH DC Equity,33.180227,0.0,1759.0,198.727272,2433.0,113.0,-0.18626429051782112,1.0,0.08967720242098184,0.5373907195696033,False,True
WRT1V FH Equity,9.666932,0.0,524.0,27.709145,524.0,5.0,0.01868510185087445,0.030000000000001137,0.19005766592145537,0.0063231018700645744,True,False
YAR NO Equity,6.561866,0.0,380.0,25.141664,589.0,6.0,-0.059263733527606104,0.30000000000001137,0.16126116987430722,0.12637519711542894,True,True
YTY1V FH Equity,35.287296,0.0,658.0,120.016915,861.0,58.0,0.007749853397000944,0.010000000000000675,0.3426880008935802,0.000307168188545419,True,False
BBHBEAT Index,,,,,,,4.0,4.0,,,,
